id,text,label
CMT_00001,đẻ con ra mà không lo được chán v l,toxic
CMT_00002,tinh_thần dân_tộc cao nhà_sản_xuất chăm_sóc thị_trường nội_địa tốt ở việt_nam thì đồ xuất_khẩu tốt_đồ cho thị_trường nội_địa không tốt bằng cần phải thay_đổi tư_duy này,toxic
CMT_00003,mình không giỏi fa ct nhưng khá nhạy_cảm với mấy cái câu cú dắt mũi kích_động,non-toxic
CMT_00004,mày cứ thử xem tao cứ sợ đi luôn,toxic
CMT_00005,chị ba vàng ngọc có cây đinh_mọc giữa dái,non-toxic
CMT_00006,cảm_ơn bạn đã nói lên suy_nghĩ của với li_ke nhé mong bạn sẽ pt hơn,non-toxic
CMT_00007,đừng có làm liều tao sẽ hành_hạ đấy,toxic
CMT_00008,sáng nào z cũng vậy chờ tin như thế_này và mong sao ngày nào z cũng vậy có tin này đến khi có v ắc xin và thuốc điều_trị,non-toxic
CMT_00009,chia_sẻ hay thế cảm_ơn bạn nhiều nha,non-toxic
CMT_00010,tao thấy mày rảnh thật mà tội_nghiệp thật,toxic
CMT_00011,chắc các em xơi nốt_toán cao_cấp bậc đ h luôn quá,non-toxic
CMT_00012,rất hâm_mộ chị nhưng nhìn sơ_sơ_z cũng vậy mối tình,non-toxic
CMT_00013,mày mấy tuổi rồi vậy ai dám gần,toxic
CMT_00014,tao biết nhà_mày cho mày thấy là chuyện thường,toxic
CMT_00015,người ta giúp xong thì nó ăn cháo đá bát mà vẫn cố bên vực cho nó vậy sao lúc jac_k bỏ con thì không ai nói gì tới việc đó v,non-toxic
CMT_00016,chửi tây mà không thấy chửi trung_quốc nhỉ chắc trung_quốc là bố nó,non-toxic
CMT_00017,hương quỳnh ai mà dạy được t đâu e_tự t mà ra đó,non-toxic
CMT_00018,thoạt nhìn z cũng vậy đã cảm_nhận được sức hấp_dẫn thần_bí so với bản ra rạp_bản của z ach cảm_nhận nhân_vật có chiều sâu hơn cảnh quay hai ba ám hơn hẳn,non-toxic
CMT_00019,mục_đích học_sinh dùng điện_thoại trong trường trong lớp là gì cứ xác_định cụ_thể là sẽ có câu trả_lời đúng học_sinh vào học là để tập_trung nghe giảng tranh_luận phát_huy độc_lập suy_nghĩ chẳng có kiến_thức gì trong giờ học phải nhờ đến mạng vào trường là để chơi với bạn_bè mở_mang quan_hệ với nhau tăng_cường k hả_năng giao_tiếp cộng_đồng chung một lứa làm nền_tảng cho tình_bạn lâu_dài về sau muốn đào_tạo cho học_sinh thì để các em về nhà tự_tra cứu trên mạng tự học hay tự_chát tự_chơi gia_đình,non-toxic
CMT_00020,nhỏ này nói c hiện như nam anh là vậy là c hời,non-toxic
CMT_00021,nếu đá đội_hình mạnh nhất thì pháo rất khó thắng_cáo hi_vọng pháo vào top mùa này,non-toxic
CMT_00022,có cái d b bố mày tin ấy,toxic
CMT_00023,loại này thì cả đời không khá được,non-toxic
CMT_00024,ai giải_thích giúp mình đoạn giữa với,non-toxic
CMT_00025,mày không cùng đẳng_cấp thế_này chắc tự_hào lắm nhỉ,toxic
CMT_00026,đúng là show bằng hành_động đi mày làm tao mở_mang tầm_mắt,toxic
CMT_00027,động vào người_thân tao tao có tin nhắn riêng không tha,toxic
CMT_00028,dân_tình bây_giờ đã bắt_đầu thờ_ơ rồi chả ai chịu đeo khẩu_trang nơi công_cộng nữa đề_nghị kích_hoạt lại chế_tài phạt nếu không đeo khẩu_trang ra đường,non-toxic
CMT_00029,mở_màn mùa giải với trận thắng là vui rồi họ chỉ cạnh_tranh tốp thôi chứ đua tranh_chức vô_địch là khó,non-toxic
CMT_00030,tài lê_tấc là mưu_sự do nhân mà thành sự do thiên,non-toxic
CMT_00031,chả có đến từ âm_dương yin_yang thì giải_thích cái nỗi gì đi học_lại đọc hiểu đi,non-toxic
CMT_00032,đừng có động vào gia_đình tao không thì chơi từ_từ,toxic
CMT_00033,ôi trời gái như này thì vứt vào thùng rác chứ yêu gì,non-toxic
CMT_00034,khi đi quay quên não ở nhà miền tây kiểu tây_thiên hay tây_tạng ấy nhỉ,non-toxic
CMT_00035,hôm_qua xem thót_tim giật_mình phết đấy anh_em ạ,non-toxic
CMT_00036,yêu ai yêu lấy người đừng như con bướm đậu rồi lại bay,toxic
CMT_00037,cầu mong_bão nó đi_quẹo loanh_quanh rồi vòng ngược ra biển rồi yếu dần và tan đi,non-toxic
CMT_00038,bọn nó hại người là vậy nhưng nếu có lỡ làm gì tụi nó đau_cái là công_an lại bắt mình bỏ tù,non-toxic
CMT_00039,chủ quán nướng_z cũng vậy tát người khác mà phạt tận tháng tù_giam con anh này tát trẻ_em tôi nghĩ phải hơn mức tháng,non-toxic
CMT_00040,ở vùng sông_nước mà đuối nước một câu_chuyện đáng để suy_ngẫm,non-toxic
CMT_00041,có_lẽ chơi ga me nhiều nên kỹ_năng mềm_kém mấy đứa tuyển_thủ_trừ những đứa chín chắn như le_vi hay lứa tuyển thủ_đời đầu thì còn lại kỹ_năng mềm thậm_chí kỹ_năng sống đều kém kể_cả t_z cũng vậy không đánh_giá cao,non-toxic
CMT_00042,không_thể để vụ này chìm được để xem pl việt_nam mình giải_quyết vụ này thế_nào,non-toxic
CMT_00043,bạn này kiểu không phong_sát nên bạn ấy nhờn hay sao ấy nhợ,non-toxic
CMT_00044,cô em bắc_kỳ đã dễ_thương còn thông_minh,non-toxic
CMT_00045,phải tao là đau đến mấy z cũng vậy phải nhắm_mắt,non-toxic
CMT_00046,thấy bạn nữa này thì hết muốn lấy vợ,non-toxic
CMT_00047,ông lân giỏi thật phỏng_vấn mà mặt tỉnh như bơ,non-toxic
CMT_00048,chắc ông cụ thân_sinh ra anh chỉ mong anh học trung_cấp dù còn sống hay đã mất chắc_hẳn ông cụ z cũng vậy tự_hào về anh lắm chúc bác_sĩ sức_khỏe và nhiều niềm vui,non-toxic
CMT_00049,mấy đứa này ăn không gọn_gàng xác cá_voi bị cạp nham n_hở trông xấu thế,non-toxic
CMT_00050,bảo_vệ động_vật hoang_dã đôi_khi z cũng vậy có những vấn_đề to to nếu đó không phải là một chú chó mà là một người thì thế_nào nhỉ,non-toxic
CMT_00051,cái này k hả_năng công_an nó ăn_chia với bọn trộm rồi chứ nếu không thì nó lôi ra phát một,toxic
CMT_00052,chị ghế đỏ_chất là chị quên chị là ai k k,non-toxic
CMT_00053,tao thấy mày tưởng mình mà tội_nghiệp thật,toxic
CMT_00054,tiếp_tục đi xem tao có đủ chứng_cứ đuổi học không,toxic
CMT_00055,mày tự n hiên bán linh_hồn là sao,toxic
CMT_00056,đừng ép tao phải vừa đến nhà vừa tung_mạng tao không muốn vậy,toxic
CMT_00057,rồi mày sẽ biết làm cho nợ chồng_chất không phải chuyện đùa,toxic
CMT_00058,lần này bỏ_qua lần sau đập mặt thật đấy,toxic
CMT_00059,đội_hình trẻ_trung của ar s này thì năm nào z cũng vậy thấy nhưng cuối mùa thì lại tỏ ra non_tay vô_cùng,non-toxic
CMT_00060,mày mà sẽ không quên nữa tao cho mày ra bã,toxic
CMT_00061,nước ta có hàng trăm khu công_nghiệp dùng mái tôn với hàng triệu với lợi_thế sẵn có hạ_tầng và làm mát nhà_xưởng khi lắp thêm tấm nl mt trên mái giảm giá_thành như_vậy nếu có một cơ_chế khu yến_khích khi các công_ty năng_lượng kết_hợp với các k cn thì tiềm_năng rất lớn,non-toxic
CMT_00062,anh rất cảm_ơn mấy đứa_bợ đít như chúa em anh cảm_ơn em nhiều,toxic
CMT_00063,coi chừng đấy làm cho mày mất_ngủ là chuyện nhỏ thôi,toxic
CMT_00064,thế là ước_mơ đi học của bao học_sinh dần_dần tan biến,non-toxic
CMT_00065,và thành_quả là một cô ca_sĩ hạng anh,non-toxic
CMT_00066,từ đầu năm chưa dư được đồng nào lại còn hứng_bão,non-toxic
CMT_00067,yêu tấm lòng nhân_hậu của các con cảm_ơn bố_mẹ đã gieo tính thiện_lành cho các con cảm_ơn vẫn luôn là người phụ_nữ nhân_hậu,non-toxic
CMT_00068,mày cứ thử xem tao tạt acid luôn,toxic
CMT_00069,không ngại xăng_cộ quất hẳn 5 q xe này phom_dáng đẹp đi đèo dốc khỏi lo nếu không cứ chọn từ đây là dòng xe mà thợ đã khẳng_định máy_móc thuộc loại nồi đồng cối đá đừng nghe mấy thánh_phán mua xe mới hạng a b xe hàn nhiều thì chỉ thích lúc ban_đầu sau vài năm nó vật cho,non-toxic
CMT_00070,là vậy là z cũng vậy vậy đúng thật,non-toxic
CMT_00071,mày không_thể so thôi chưa đủ còn khoe nữa,toxic
CMT_00072,tao cảnh_báo lần cuối không cho học tiếp là mày xong,toxic
CMT_00073,chờ xem tao không cho làm_việc nữa như_thế_nào,toxic
CMT_00074,chẳng hiểu viết cái gì văn_phạm chữ_nghĩa chính_tả đều lủng_củng đó là biểu_hiện của ít học,non-toxic
CMT_00075,t thề là nếu_như dịch_bệnh mà hết và con nhung này ra viện thì chắc là ai nhìn thấy nó thì z cũng vậy muốn lao vào xé xác nó ra ấy thế có mà nó sợ tụt_lờ không dám đi đâu_đâu,toxic
CMT_00076,mày còn dám gọi người đến tao không để yên đâu,toxic
CMT_00077,thương v r bị đạo_nhạc mà s p_đạo lại như cl,non-toxic
CMT_00078,nghĩ thôi đã lạnh b uốn tim gan và tâm_hồn,non-toxic
CMT_00079,con chó đánh hơi thấy mùi bất_thường,non-toxic
CMT_00080,không thích cách nhà phát_hành vận_hành ga me,toxic
CMT_00081,nhưng máy chỉ có còn là chạy sướng hơn nhiều và nhiều khu yến mãi hơn nếu bạn trả_góp,non-toxic
CMT_00082,mày sẽ thấy hậu_quả của lên tận đó sớm thôi,toxic
CMT_00083,chắc là có xích m_ích hay gì với nhân_viên quán à,non-toxic
CMT_00084,tính chửi mà mọi người chửi rồi khỏi tạo_nghiệp nữa,non-toxic
CMT_00085,biết ba tao là ai không xong là mày hết đường chạy,toxic
CMT_00086,cl m hẳn là trai bố m hài_ỉa vào bàn_thờ nhà m luôn t_h mực con,toxic
CMT_00087,cho cha_con nó vào tù luôn đi,toxic
CMT_00088,chị này không đẹp mà giống tưng t ửng hé,non-toxic
CMT_00089,doanh_nghiệp thì còn chứng_minh được lỗ chứ kinh_doanh nhỏ_lẻ hộ cá_thể thì có than_z cũng vậy chẳng ai xem_xét nghĩ sao thời_buổi dịch_bệnh đủ thử tiền phải_chi tháng nào z cũng vậy phải đè đầu đắp lỗ mà tiền thuế mỗi tháng cho hộ cá_thể lại không phải công_ty hay nhập hàng lớn để có đơn đỏ nhập hàng càng không có k hả_năng xuất h đ đầu_ra thì khóc ròng_z cũng vậy chẳng ai đoái hoài quá chán không buồn nói,non-toxic
CMT_00090,ai có bạn gái đeo khẩu_trang không ạ mình xin với,non-toxic
CMT_00091,những cái túi nilong dày để có_thể bảo_quản được các loại chất lỏng sẽ đi về đâu,non-toxic
CMT_00092,việc dùng chiếc làm mồi nhử là lời đồn_đoán và khi đó đã cho biết là thị_trường cho máy_bay lớn như khá hạn_chế nên họ không muốn đầu_tư quá nhiều vào đó và chọn phương_án phát_triển từ mẫu 747 nhiều chuyên_gia tại thời_điểm đó chế_diễu sẽ chẳng làm_nên chuyện gì cho một khung mẫu của gần nửa thế_kỷ trước theo sẽ vẫn tiếp_tục phát_triển cho_dù có hay không thất_bại của là trên phương_diện thị_trường với sự bùng_nổ của hàng_không giá rẻ bản_thân nó là một kiệt_tác về mặt kỹ_thuật tôi vẫn thích bay trên hơn hay chiếc mà tôi thích nhất là,toxic
CMT_00093,mấy ga me_ảnh bị hành_ảnh không đăng luôn mà,non-toxic
CMT_00094,sáng nay ra đường lạnh_tê tay quên áo_khoác,non-toxic
CMT_00095,tao nhớ mày rồi đấy không có công_ty nào dám nhận là chắc_chắn,toxic
CMT_00096,đã què cơ_thể còn què luôn nhân_cách,toxic
CMT_00097,điểm danh những diễn_viên nghệ nổi_tiếng trong nước có được mấy người giữ được hạnh_phúc trọn_vẹn đến khi về nghỉ hưu phải_chăng môi_trường hoạt_động của họ quá nhiều áp_lực,toxic
CMT_00098,ông này chắc phải phạt cho người khác đè lên người mới hiểu cảm_giác lúc ấy sẽ ra sao,non-toxic
CMT_00099,chiếc giày vàng_quản g bóng vàng điều đó nói lên tất_cả,non-toxic
CMT_00100,cướp bốc việt_nam chổ nào z cũng vậy có,non-toxic
CMT_00101,người yêu ai dắt về ki à khùng q a_rui,toxic
CMT_00102,mày mà làm cho không còn hình người tao phá nát cuộc_sống mày,toxic
CMT_00103,bài hit thì vô_khối giai_đoạn tôi nhớ nhất ngoài siêu_hot đi về nơi xa bước chân lẻ_loi và phi_êu du_là còn lại một_mình tình_quay gót_hôn_môi xa cuộc tình trong cơn mưa bóng_dáng thiên_thần kiếp rong buồn đợi_chờ phố tình_yêu biệt_khúc chờ nhau chờ trên tháng năm các bài song_ca với cẩm_ly_z cũng vậy đừng quên dòng máu lạc_hồng giai_đoạn dòng sông băng_tình khúc vàng đêm tình_yêu lỡ hẹn giai_đoạn mãi_mãi một tình_yêu sao đổi ngôi nắng sân trườn ganh phải làm_sao chim trắng mồ_côi giai_đoạn con sóng yêu_thương trăng_vỡ nội tôi anh vẫn đợi_chờ giai_đoạn thiên_sứ tình_yêu hát ru_tình_yêu cắn môi_tình còn đau lời xin_lỗi sau đó ngôi_sao bay ước_mơ ngọt_ngào liên_khúc chuyện ba người về sau phong_độ anh xuống nhưng z cũng vậy vớt được yêu nhau bao_lâu biển người nhân_gian một_số ca_khúc dân_ca như anh ba khía_ngốc ơi nói_chung nhiều lắm cá_nhân tôi thấy bước chân_lẻ du_hôn_môi xa là ca_khúc đẹp nhất,toxic
